id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,4654179,0,0,2999,1991,1546.875,718.390625,1.0355002880096436,0.9771760106086731,0,0,3000,1999
1,52993,996,1221,173,412,1078.125,1343.078125,1.0244296789169312,0.9829240441322327,0,0,3000,1999
2,51686,975,948,206,292,984.375,1093.203125,1.0157487392425537,0.987872838973999,0,0,3000,1999
3,113875,976,851,205,807,1078.125,1343.078125,1.0080337524414062,0.9783397912979126,0,0,3000,1999
4,537414,513,731,1468,809,1265.625,1405.546875,0.9947537183761597,0.9615578651428223,0,0,3000,1999
5,36552,1627,756,253,209,1734.375,905.796875,0.9883992075920105,0.9813337922096252,0,0,3000,1999
6,26269,351,681,221,193,421.875,843.328125,0.9879797697067261,0.978505551815033,0,0,3000,1999
7,60141,350,536,324,370,515.625,718.390625,0.9859985113143921,0.9761779308319092,0,0,3000,1999
8,25855,808,868,232,185,890.625,1030.734375,0.9850000143051147,0.9809483885765076,0,0,3000,1999
9,5473,1662,668,88,77,1734.375,718.390625,0.9813446998596191,0.9876655340194702,0,0,3000,1999
10,28954,1648,961,165,203,1734.375,1093.203125,0.9785032868385315,0.978401780128479,0,0,3000,1999
11,31646,2486,543,214,284,2671.875,593.453125,0.9784796237945557,0.9723495244979858,0,0,3000,1999
12,21445,359,588,268,156,421.875,655.921875,0.9773209691047668,0.9805951118469238,0,0,3000,1999
13,61434,746,801,294,615,890.625,1093.203125,0.9756503105163574,0.9599035978317261,0,0,3000,1999
14,5395,1809,983,72,101,1828.125,1030.734375,0.9730948209762573,0.9845531582832336,0,0,3000,1999
15,1348453,0,1503,2999,489,140.625,1967.765625,0.9730396270751953,0.952110230922699,0,0,3000,1999
16,139256,0,0,1133,137,796.875,93.703125,0.9706647992134094,0.9510394930839539,0,0,3000,1999
17,48545,351,587,280,287,515.625,780.859375,0.9705369472503662,0.9792796969413757,0,0,3000,1999
18,25644,826,1049,163,306,890.625,1093.203125,0.9689795970916748,0.9774864912033081,0,0,3000,1999
19,62652,2403,454,297,418,2578.125,655.921875,0.966325044631958,0.9629606604576111,0,0,3000,1999
20,109265,1614,670,265,692,1640.625,843.328125,0.9630043506622314,0.9516733884811401,0,0,3000,1999
21,51082,809,868,234,487,984.375,905.796875,0.9624730348587036,0.9613026976585388,0,0,3000,1999
22,5435,1020,851,120,73,1078.125,905.796875,0.9616421461105347,0.9747502207756042,0,0,3000,1999
23,17024,2465,492,166,170,2484.375,593.453125,0.9585027098655701,0.9762015342712402,0,0,3000,1999
24,50869,663,264,378,400,984.375,530.984375,0.958130955696106,0.9699212908744812,0,0,3000,1999
25,2534,872,264,77,45,890.625,281.109375,0.9577160477638245,0.9843321442604065,0,0,3000,1999
26,4543,1301,356,73,75,1359.375,406.046875,0.9574999809265137,0.9829731583595276,0,0,3000,1999
27,2917,471,864,100,42,515.625,905.796875,0.9555227756500244,0.9840244650840759,0,0,3000,1999
28,21395,681,414,343,221,984.375,530.984375,0.9475040435791016,0.9516415596008301,0,0,3000,1999
29,3404,2479,825,105,46,2578.125,843.328125,0.9452359080314636,0.9819294810295105,0,0,3000,1999
30,12976,580,1654,419,83,609.375,1717.890625,0.9449472427368164,0.9754185676574707,0,0,3000,1999
31,3327,744,1018,93,103,796.875,1030.734375,0.9296395182609558,0.9767995476722717,0,0,3000,1999
32,1916,1335,764,67,42,1359.375,780.859375,0.9279249906539917,0.9782833456993103,0,0,3000,1999
33,1456,1415,766,47,38,1453.125,780.859375,0.9250260591506958,0.9795779585838318,0,0,3000,1999
34,19234,789,306,174,196,796.875,406.046875,0.9216605424880981,0.9603223204612732,0,0,3000,1999
35,1946,989,1624,58,39,984.375,1655.421875,0.9201952219009399,0.9641594886779785,0,0,3000,1999
36,838,1618,957,33,30,1640.625,968.265625,0.9150882363319397,0.9799764156341553,0,0,3000,1999
37,1767,1714,1890,64,32,1734.375,1905.296875,0.9126166105270386,0.9572933912277222,0,0,3000,1999
38,1411,661,621,43,42,703.125,655.921875,0.9099558591842651,0.978976845741272,0,0,3000,1999
39,1603,1603,713,51,40,1640.625,718.390625,0.9030410051345825,0.9753845930099487,0,0,3000,1999
40,3121,2400,454,88,52,2484.375,468.515625,0.8935843110084534,0.9728192090988159,0,0,3000,1999
41,3417,744,871,165,250,796.875,1093.203125,0.8848162293434143,0.9703255295753479,0,0,3000,1999
42,486,1906,514,37,15,1921.875,530.984375,0.883691668510437,0.9559118151664734,0,0,3000,1999